Movie,Production Year,Watchtime,Rating,Metascore,Genres,Description,Votes,Director,User_Point
Teen Wolf,2011–2017,41,7.7,0,"Action,Drama,Fantasy",An average high school student and his best friend get caught up in some trouble causing him to receive a werewolf bite. As a result they find themselves in the middle of all sorts of dramas in Beacon Hills.,"142,731",Multiple Directors,10
Terminator 2: Judgment Day,1991,137,8.6,75,"Action,Sci-Fi","A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten-year-old son John from a more advanced and powerful cyborg.","1,067,683",James Cameron,9
The Dark Knight Rises,2012,164,8.4,78,"Action,Crime,Drama","Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.","1,651,943",Christopher Nolan,9
9-1-1: Lone Star,2020– ,43,6.9,0,"Action,Drama,Thriller","A New York firefighter relocates to Austin, Texas with his son, where he works to save people's lives while trying to solve his own personal problems.","13,260",Multiple Directors,7
Archer,2009– ,22,8.6,0,"Animation,Action,Comedy",Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.,"150,744",Multiple Directors,7
